symbol,_priceFormat,_priceFormatType,_tickSize,buyFillId,sellFillId,qty,buyPrice,sellPrice,pnl,boughtTimestamp,soldTimestamp,duration
NQU5,-2,0,0.25,274486590007,274486590041,1,23624.25,23634.75,$210.00,08/28/2025 19:34:25,08/28/2025 19:56:16,21min 50sec
MNQU5,-2,0,0.25,274486590095,274486590057,1,23666.75,23656.00,$(21.50),08/29/2025 18:55:55,08/29/2025 18:48:30,7min 24sec
MNQU5,-2,0,0.25,274486590103,274486590057,5,23666.75,23656.00,$(107.50),08/29/2025 18:55:55,08/29/2025 18:48:30,7min 25sec
MNQU5,-2,0,0.25,274486590111,274486590057,1,23666.75,23656.00,$(21.50),08/29/2025 18:55:56,08/29/2025 18:48:30,7min 26sec
MNQU5,-2,0,0.25,274486590119,274486590057,1,23666.75,23656.00,$(21.50),08/29/2025 18:55:58,08/29/2025 18:48:30,7min 28sec
MNQU5,-2,0,0.25,274486590127,274486590057,2,23667.00,23656.00,$(44.00),08/29/2025 18:55:58,08/29/2025 18:48:30,7min 28sec
MNQU5,-2,0,0.25,274486590158,274486590138,10,23659.25,23660.25,$20.00,08/29/2025 19:01:58,08/29/2025 19:00:02,1min 55sec
MNQU5,-2,0,0.25,274486590207,274486590172,10,23638.75,23641.75,$60.00,08/29/2025 19:05:34,08/29/2025 19:04:40,54sec
MNQU5,-2,0,0.25,274486590218,274486590227,10,23610.25,23589.25,$(420.00),08/29/2025 19:13:02,08/29/2025 19:13:53,51sec
MESU5,-2,0,0.25,274486590250,274486590260,5,6469.75,6470.00,$6.25,08/29/2025 23:28:46,08/29/2025 23:29:36,50sec
